Image,Label,x,y,Timestamp
img_000000000_Default_000.tif,D-Right,1729,851,0
img_000000000_Default_000.tif,E-Right,1730,124,0
img_000000001_Default_000.tif,D-Right,1729,851,1
img_000000001_Default_000.tif,E-Right,1730,124,1
img_000000002_Default_000.tif,D-Right,1729,851,2
img_000000002_Default_000.tif,E-Right,1730,124,2
img_000000003_Default_000.tif,D-Right,1729,851,3
img_000000003_Default_000.tif,E-Right,1730,124,3
img_000000004_Default_000.tif,D-Right,1728,851,4
img_000000004_Default_000.tif,E-Right,1730,123,4
img_000000005_Default_000.tif,D-Right,1729,851,5
img_000000005_Default_000.tif,E-Right,1730,124,5
img_000000006_Default_000.tif,D-Right,1729,851,6
img_000000006_Default_000.tif,E-Right,1730,124,6
img_000000007_Default_000.tif,D-Right,1728,851,7
img_000000007_Default_000.tif,E-Right,1730,123,7
img_000000008_Default_000.tif,D-Right,1729,851,8
img_000000008_Default_000.tif,E-Right,1730,123,8
img_000000009_Default_000.tif,D-Right,1729,851,9
img_000000009_Default_000.tif,E-Right,1729,123,9
img_000000010_Default_000.tif,D-Right,1729,851,10
img_000000010_Default_000.tif,E-Right,1730,123,10
img_000000011_Default_000.tif,D-Right,1728,850,11
img_000000011_Default_000.tif,E-Right,1730,123,11
img_000000012_Default_000.tif,D-Right,1729,850,12
img_000000012_Default_000.tif,E-Right,1730,123,12
img_000000013_Default_000.tif,D-Right,1729,851,13
img_000000013_Default_000.tif,E-Right,1730,123,13
img_000000014_Default_000.tif,D-Right,1729,851,14
img_000000014_Default_000.tif,E-Right,1730,123,14
img_000000015_Default_000.tif,D-Right,1729,851,15
img_000000015_Default_000.tif,E-Right,1730,123,15
img_000000016_Default_000.tif,D-Right,1728,850,16
img_000000016_Default_000.tif,E-Right,1730,123,16
img_000000017_Default_000.tif,D-Right,1729,851,17
img_000000017_Default_000.tif,E-Right,1730,123,17
img_000000018_Default_000.tif,D-Right,1728,852,18
img_000000018_Default_000.tif,E-Right,1730,123,18
img_000000019_Default_000.tif,D-Right,1730,851,19
img_000000019_Default_000.tif,E-Right,1730,123,19
img_000000020_Default_000.tif,D-Right,1729,851,20
img_000000020_Default_000.tif,E-Right,1730,123,20
img_000000021_Default_000.tif,D-Right,1728,852,21
img_000000021_Default_000.tif,E-Right,1730,123,21
img_000000022_Default_000.tif,D-Right,1729,851,22
img_000000022_Default_000.tif,E-Right,1730,123,22
img_000000023_Default_000.tif,D-Right,1729,850,23
img_000000023_Default_000.tif,E-Right,1730,123,23
img_000000024_Default_000.tif,D-Right,1729,851,24
img_000000024_Default_000.tif,E-Right,1730,123,24
img_000000025_Default_000.tif,D-Right,1730,851,25
img_000000025_Default_000.tif,E-Right,1731,124,25
img_000000026_Default_000.tif,D-Right,1730,851,26
img_000000026_Default_000.tif,E-Right,1731,124,26
img_000000027_Default_000.tif,D-Right,1730,851,27
img_000000027_Default_000.tif,E-Right,1731,123,27
img_000000028_Default_000.tif,D-Right,1730,851,28
img_000000028_Default_000.tif,E-Right,1731,124,28
img_000000029_Default_000.tif,D-Right,1728,851,29
img_000000029_Default_000.tif,E-Right,1730,123,29
img_000000030_Default_000.tif,D-Right,1728,851,30
img_000000030_Default_000.tif,E-Right,1730,123,30
img_000000031_Default_000.tif,D-Right,1729,851,31
img_000000031_Default_000.tif,E-Right,1730,123,31
img_000000032_Default_000.tif,D-Right,1730,851,32
img_000000032_Default_000.tif,E-Right,1731,124,32
img_000000033_Default_000.tif,D-Right,1730,852,33
img_000000033_Default_000.tif,E-Right,1731,124,33
img_000000034_Default_000.tif,D-Right,1730,852,34
img_000000034_Default_000.tif,E-Right,1731,124,34
img_000000035_Default_000.tif,D-Right,1729,852,35
img_000000035_Default_000.tif,E-Right,1731,123,35
img_000000036_Default_000.tif,D-Right,1729,851,36
img_000000036_Default_000.tif,E-Right,1730,123,36
img_000000037_Default_000.tif,D-Right,1729,851,37
img_000000037_Default_000.tif,E-Right,1730,123,37
img_000000038_Default_000.tif,D-Right,1728,852,38
